iteration,input_physics_iteration,output_physics_iteration,wait_local_write_sec,wait_scada_downlink_sec,logic_wait_sec,signal_read_actuators_sec,wait_actuator_read_sec,merge_actuator_state_sec,physics_step_publish_sec,write_cycle_logs_sec,cycle_total_sec,local_plc_count,actuator_count,physics_value_count
18,18,19,0.005576501949690282,0.03597348096081987,0.3003417600411922,0.000534437014721334,0.010701256047468632,0.00127834000159055,0.002118964970577508,0.0019596510101109743,0.3586495749768801,8,11,30
19,19,20,0.005758326034992933,0.030604052008129656,0.30032827297691256,0.000451411004178226,0.01072308496804908,0.0012387819588184357,0.0020569879561662674,0.001529664034023881,0.35283023200463504,8,11,30
20,20,21,0.005440366978291422,0.030658987001515925,0.3003381250309758,0.0005255530122667551,0.010818479990120977,0.0016078570042736828,0.002043957996647805,0.001594240020494908,0.35315081698354334,8,11,30
21,21,22,0.00564373005181551,0.035940816975198686,0.3002096900017932,0.0005683540366590023,0.0108181539690122,0.001575694011989981,0.0024370329920202494,0.001938951958436519,0.3593080920400098,8,11,30
22,22,23,0.005504867993295193,0.040922777028754354,0.30046798300463706,0.000632674025837332,0.01091944397194311,0.0015277069760486484,0.002421411976683885,0.0019868259551003575,0.36453626601723954,8,11,30
23,23,24,0.005567495012655854,0.03117276798002422,0.3004683770122938,0.0008196400012820959,0.011442411981988698,0.002704612968955189,0.0038016700418666005,0.00323493400355801,0.35945833899313584,8,11,30
24,24,25,0.006026737974025309,0.03645877499366179,0.3004518219968304,0.006655099045019597,0.011076491966377944,0.001599607989192009,0.002732774999458343,0.0029969189781695604,0.3682425339939073,8,11,30
25,25,26,0.005617401038762182,0.03605547599727288,0.3004428140120581,0.0006077180150896311,0.010995327029377222,0.0015516800340265036,0.0024123210459947586,0.0021056790137663484,0.3599919420084916,8,11,30
26,26,27,0.005657450994476676,0.036056069016922265,0.30034588696435094,0.0005432100151665509,0.010865582968108356,0.001554629998281598,0.002472726977430284,0.002472786989528686,0.36015206295996904,8,11,30
27,27,28,0.005562125996220857,0.03583983099088073,0.3003457610029727,0.0006778410170227289,0.011023475031834096,0.0014875669730827212,0.0023738619638606906,0.0017698960145935416,0.359244593011681,8,11,30
28,28,29,0.005327413964550942,0.02541796799050644,0.30011176597326994,0.0005402899696491659,0.010685164015740156,0.0011586309992708266,0.0020030559971928596,0.0019239630200900137,0.34727525198832154,8,11,30
29,29,30,0.0054417559877038,0.03590348095167428,0.30042227095691487,0.0006315700011327863,0.010807849001139402,0.0015673250309191644,0.002755628025624901,0.0035482789971865714,0.36123629298526794,8,11,30
30,30,31,0.0060485550202429295,0.031945007969625294,0.30047310900408775,0.000843005022034049,0.010778572992421687,0.0012745560379698873,0.0020198539714328945,0.002033824974205345,0.355698689003475,8,11,30
31,31,32,0.005462659988552332,0.03587993502151221,0.3004046399728395,0.0005521600251086056,0.01094322995049879,0.0013767380150966346,0.0019902330241166055,0.0020543410209938884,0.35880935500608757,8,11,30
32,32,33,0.005743138026446104,0.030877471959684044,0.3004568020114675,0.0005160740111023188,0.00563393795164302,0.0012948979856446385,0.0020743159693665802,0.0021314139594323933,0.3489178989548236,8,11,30
33,33,34,0.005566927022300661,0.03601924201939255,0.3003388049546629,0.00016266299644485116,0.010219260992016643,0.0002436409704387188,0.0004510419676080346,0.0004546659765765071,0.35355932102538645,8,11,30
34,34,35,0.005131390993483365,0.030641206947620958,0.3004428319982253,0.0008261629845947027,0.010982139967381954,0.0013266209862194955,0.002085859014187008,0.002231113030575216,0.3537872710148804,8,11,30
35,35,36,0.005541158025152981,0.036030912946444005,0.30033971701050177,0.0005090999766252935,0.010720947990193963,0.001186345994938165,0.002020875981543213,0.0022007100051268935,0.35870996600715443,8,11,30
36,36,37,0.005454986996483058,0.035863454977516085,0.30043687496799976,0.0006509399972856045,0.010785319027490914,0.001264894031919539,0.0024663060321472585,0.002244803006760776,0.3593373309704475,8,11,30
37,37,38,0.00545351899927482,0.0358801229740493,0.30033666401868686,0.0004880590131506324,0.010727014974690974,0.0012836669920943677,0.002470478997565806,0.00231525901472196,0.3590911279898137,8,11,30
38,38,39,0.005498490994796157,0.03589739801827818,0.30033299000933766,0.0005142709705978632,0.01070563803659752,0.0012016199762001634,0.0022730229538865387,0.002393040049355477,0.3589537809602916,8,11,30
39,39,40,0.005468125978950411,0.03587277402402833,0.3003220349783078,0.0004882640205323696,0.010723867977503687,0.001194194017443806,0.0020040160161443055,0.0023789890110492706,0.35859215998789296,8,11,30
40,40,41,0.005435248953290284,0.03576252603670582,0.30032029503490776,0.00014357100008055568,0.005162308982107788,0.0002551329671405256,0.00043152301805093884,0.0004965760163031518,0.3480774980271235,8,11,30
41,41,42,0.005130083009134978,0.025416501972358674,0.3001076279906556,0.0005321819917298853,0.010710308968555182,0.0012248160201124847,0.0020786430104635656,0.0024893679656088352,0.34777892497368157,8,11,30
42,42,43,0.0054724630317650735,0.035823224985506386,0.3004195669782348,0.0005187689675949514,0.005644501012284309,0.001334655040409416,0.002373358001932502,0.0025895870057865977,0.3543312649708241,8,11,30
43,43,44,0.00548512302339077,0.031037967011798173,0.3003165439586155,0.0005427619908004999,0.010692624025978148,0.0014093139907345176,0.001992420991882682,0.0025566929834894836,0.3541934610111639,8,11,30
44,44,45,0.0054575109970755875,0.035854229994583875,0.30005074897781014,0.00044825696386396885,0.01070064801024273,0.0012293839827179909,0.001989989948924631,0.002632272953633219,0.35849313100334257,8,11,30
45,45,46,0.00542795896762982,0.03087671397952363,0.30028802301967517,0.0005007690051570535,0.01072811899939552,0.0012866230099461973,0.0020418150234036148,0.0026692820247262716,0.3539462009794079,8,11,30
46,46,47,0.005479739047586918,0.03602710802806541,0.3004003670066595,0.0005073200445622206,0.010850074992049485,0.0013316079857759178,0.002014402998611331,0.0026818689657375216,0.35943463898729533,8,11,30
47,47,48,0.005471101030707359,0.030907504027709365,0.30033509398344904,0.000564035028219223,0.010890812030993402,0.0013120200019329786,0.002386624983046204,0.002976676041726023,0.35500420100288466,8,11,30
48,48,49,0.005529590998776257,0.03078282403293997,0.30041557404911146,0.0005412639584392309,0.010861615999601781,0.0013025850057601929,0.00201552698854357,0.002790440048556775,0.3543850149726495,8,11,30
49,49,50,0.005554336006753147,0.0359723080182448,0.3004277719883248,0.0005039529642090201,0.005592664994765073,0.0012726550339721143,0.0025229970342479646,0.002868661016691476,0.35487289796583354,8,11,30
50,50,51,0.00545822101412341,0.035837490984704345,0.3000999090145342,0.00048653100384399295,0.010723961051553488,0.0011974590015597641,0.0020055680070072412,0.002903439977671951,0.35885022301226854,8,11,30
51,51,52,0.005444595008157194,0.035956754989456385,0.30034818599233404,0.0005702980561181903,0.01094572601141408,0.001321199000813067,0.0020187069894745946,0.002916158002335578,0.35965513897826895,8,11,30
52,52,53,0.0055150879779830575,0.03607990295859054,0.3001374159939587,0.0004991540336050093,0.010758751013781875,0.007052931992802769,0.0022042569471523166,0.002954562020022422,0.3653644139994867,8,11,30
53,53,54,0.005421475972980261,0.030686782964039594,0.3003412149846554,0.0005677019944414496,0.0055652259616181254,0.001255809038411826,0.002030565985478461,0.005190541967749596,0.35120558401104063,8,11,30
54,54,55,0.005484608991537243,0.030673699046019465,0.30032554001081735,0.0005591179942712188,0.010677958955056965,0.001209255016874522,0.0020377630135044456,0.003067925979848951,0.35418281302554533,8,11,30
55,55,56,0.005462076980620623,0.03586590604390949,0.300094940001145,0.0004562439862638712,0.010775681992527097,0.0013289569760672748,0.0027491500368341804,0.004076755023561418,0.3609725279966369,8,11,30
