iteration,input_physics_iteration,output_physics_iteration,wait_local_write_sec,wait_scada_downlink_sec,logic_wait_sec,signal_read_actuators_sec,wait_actuator_read_sec,merge_actuator_state_sec,physics_step_publish_sec,write_cycle_logs_sec,cycle_total_sec,local_plc_count,actuator_count,physics_value_count
54,54,55,0.005142,0.030552,0.300313,0.000177,0.010315,0.000353,0.000511,0.000699,0.348108,8,11,30
55,55,56,0.005268,0.030456,0.300313,0.000174,0.005161,0.000288,0.000639,0.000679,0.343022,8,11,30
56,56,57,0.005125,0.030471,0.300331,0.000228,0.010303,0.000315,0.000615,0.000659,0.348097,8,11,30
57,57,58,0.005151,0.025418,0.300307,0.000177,0.005212,0.000330,0.000491,0.000673,0.337803,8,11,30
58,58,59,0.005150,0.030563,0.300254,0.000189,0.005192,0.000333,0.000490,0.000676,0.342897,8,11,30
59,59,60,0.005131,0.030458,0.300316,0.000292,0.005232,0.000559,0.000919,0.001215,0.344179,8,11,30
60,60,61,0.005208,0.030602,0.300314,0.000173,0.010277,0.000357,0.000492,0.000783,0.348272,8,11,30
61,61,62,0.005171,0.025525,0.300471,0.000219,0.005211,0.000618,0.001031,0.001394,0.339716,8,11,30
62,62,63,0.005193,0.025456,0.300314,0.000177,0.010281,0.000397,0.000794,0.001324,0.344009,8,11,30
63,63,64,0.005211,0.025452,0.300332,0.000205,0.005192,0.000368,0.000648,0.000834,0.338300,8,11,30
64,64,65,0.005176,0.030545,0.300072,0.000183,0.010312,0.000347,0.000530,0.000758,0.347975,8,11,30
65,65,66,0.005192,0.025448,0.300218,0.000178,0.010326,0.000366,0.000562,0.000793,0.343134,8,11,30
66,66,67,0.005154,0.030611,0.300018,0.000175,0.005191,0.000367,0.000513,0.000780,0.342860,8,11,30
67,67,68,0.005156,0.030591,0.300317,0.000175,0.005195,0.000375,0.000492,0.000768,0.343121,8,11,30
68,68,69,0.005194,0.025493,0.300327,0.000259,0.010341,0.000383,0.000564,0.000871,0.343483,8,11,30
69,69,70,0.005147,0.025488,0.300314,0.000195,0.010292,0.000384,0.000601,0.000813,0.343279,8,11,30
70,70,71,0.005174,0.030546,0.300278,0.000262,0.010288,0.000358,0.000528,0.000896,0.348388,8,11,30
