iteration,wait_local_write_markers_sec,poll_sec,read_physics_json_sec,downlink_sec,write_scada_csv_sec,write_outputs_and_marker_sec,cycle_total_sec,poll_md_total,poll_coil_total,poll_error_total,downlink_written_total,downlink_skipped_total,downlink_error_total
19,0.3263868789654225,0.016926562995649874,4.963198443874717e-05,0.011415516957640648,0.0007456099847331643,0.00032141798874363303,0.3558773410040885,35,0,0,6,0,0
20,0.3263027769862674,0.015129142033401877,9.694200707599521e-05,0.010771178000140935,0.0008120470447465777,0.00031646399293094873,0.3534622720326297,35,0,0,6,0,0
21,0.32206688600126654,0.02132436604006216,0.00018403795547783375,0.01201645500259474,0.0010628850432112813,0.00032826000824570656,0.35702604200923815,35,0,0,6,0,0
22,0.3273186520091258,0.01675768499262631,0.00042513100197538733,0.015401192009449005,0.001936389016918838,0.00048600800801068544,0.36238714901264757,35,0,0,6,0,0
23,0.3277046030270867,0.016303577984217554,0.00028370798099786043,0.01268703502137214,0.001244382990989834,0.0004028870025649667,0.35868404095526785,35,0,0,6,0,0
24,0.33068295900011435,0.015816878993064165,0.00023245002375915647,0.01348117901943624,0.0013229289907030761,0.0003910759696736932,0.3619699929840863,35,0,0,6,0,0
25,0.33600320603,0.016452084004413337,0.00022498302860185504,0.012930065975524485,0.0010373509721830487,0.00033239502226933837,0.36701945500681177,35,0,0,6,0,0
26,0.33145996602252126,0.01600328099448234,0.0002918079844675958,0.01268534199334681,0.0010305600007995963,0.0003242199891246855,0.36184366600355133,35,0,0,6,0,0
27,0.3279882040224038,0.016997003986034542,0.0002235029824078083,0.01270382001530379,0.0010307750198990107,0.0003787609748542309,0.3593830190366134,35,0,0,6,0,0
28,0.32473891897825524,0.012984938977751881,8.563499432057142e-05,0.010514458001125604,0.0006864030146971345,0.00023852800950407982,0.3492704869713634,35,0,0,6,0,0
29,0.3261187030002475,0.017058947996702045,0.00024151999969035387,0.012721377017442137,0.0012689930154010653,0.00039707502583041787,0.35785947897238657,35,0,0,6,0,0
30,0.32669132604496554,0.017547646013554186,0.00023983803112059832,0.012863548996392637,0.001329005986917764,0.0004477609763853252,0.35916701500536874,35,0,0,6,0,0
31,0.32562968699494377,0.015900422993581742,0.0002772539737634361,0.012920831970404834,0.001051279017701745,0.0003277990035712719,0.35615373303880915,35,0,0,6,0,0
32,0.3268142120214179,0.016959152999334037,0.00023675698321312666,0.012554157990962267,0.0010407569934614003,0.00043357600225135684,0.35810035100439563,35,0,0,6,0,0
33,0.32195530901663005,0.01623177999863401,0.0002633010153658688,0.013161686016246676,0.0011254929704591632,0.0003627300029620528,0.3531406749971211,35,0,0,6,0,0
34,0.3196035610162653,0.01196869497653097,8.972297655418515e-05,0.011122605996206403,0.001002020959276706,0.000316073012072593,0.3441219559754245,35,0,0,6,0,0
35,0.3317827390274033,0.016234998998697847,0.00028322002617642283,0.012794726004358381,0.0010397550067864358,0.0003279969678260386,0.3625071059796028,35,0,0,6,0,0
36,0.3251364290481433,0.0157902340288274,0.00023578800028190017,0.012750961992423981,0.001036098983604461,0.0003316439688205719,0.35532620805315673,35,0,0,6,0,0
37,0.3311923339497298,0.01581580500351265,0.0004151000175625086,0.013347989995963871,0.0010485940147191286,0.00035683996975421906,0.3622422399930656,35,0,0,6,0,0
38,0.32575108302989975,0.017252195975743234,0.00028309598565101624,0.013139596965629607,0.0010552770108915865,0.0003377940156497061,0.35788515099557117,35,0,0,6,0,0
39,0.32613141497131437,0.018238590972032398,0.00022598705254495144,0.012816458009183407,0.0010468579712323844,0.00033560401061549783,0.3588331789942458,35,0,0,6,0,0
40,0.3292557789827697,0.017076210991945118,0.00023251899983733892,0.012613655999302864,0.001038860995322466,0.00033099198481068015,0.36060865700710565,35,0,0,6,0,0
41,0.31529183097882196,0.011531514988746494,5.418300861492753e-05,0.009829573042225093,0.0002066860324703157,7.305602775886655e-05,0.3369979290291667,35,0,0,6,0,0
42,0.3254639799706638,0.016076105006504804,0.00024090800434350967,0.012641579029150307,0.0010269200429320335,0.00033491395879536867,0.355828833009582,35,0,0,6,0,0
43,0.3207580109592527,0.015982917975634336,0.00029964803252369165,0.01256777299568057,0.0010407819645479321,0.00037487404188141227,0.3510677170124836,35,0,0,6,0,0
